question,answer,category
What are your business hours?,We are open Monday-Friday 9 AM to 6 PM EST.,General
How can I contact support?,Email us at support@company.com or call 1-800-123-4567.,Support
What payment methods do you accept?,We accept credit cards PayPal and bank transfers.,Payment
How long does shipping take?,Standard shipping takes 3-5 business days.,Shipping
What is your return policy?,You can return items within 30 days for a full refund.,Returns
Do you ship internationally?,Yes we ship worldwide in 7-14 business days.,Shipping
How do I track my order?,Use the tracking number sent to your email after purchase.,Orders
Can I cancel my order?,Orders can be cancelled within 1 hour of placement.,Orders
Do you offer student discounts?,Yes we offer 10% student discount with verification.,Discounts
How do I create an account?,Click Sign Up and fill out the registration form.,Account
What if my item is damaged?,Contact support immediately for replacement or refund.,Support
Do you have a mobile app?,Yes download our app from App Store or Google Play.,General
How do I change my password?,Go to Account Settings and click Change Password.,Account
What are your delivery areas?,We deliver to all major cities and towns.,Shipping
How do I apply a coupon code?,Enter the code at checkout before payment.,Discounts
